data_source_id,attached_at,detached_at,reason,Machine Status
2962,2022-12-21 13:05:08,2023-01-03 04:05:26,NOT SCHEDULED,DOWNTIME
2842,2022-12-23 20:03:02,2023-01-03 11:37:08,NOT SCHEDULED,DOWNTIME
2962,2023-01-03 05:40:21,2023-01-03 21:26:59,NOT SCHEDULED,DOWNTIME
2962,2023-01-04 07:21:47,2023-01-04 22:49:27,NOT SCHEDULED,DOWNTIME
2842,2023-01-04 20:43:07,2023-01-06 03:46:12,NOT SCHEDULED,DOWNTIME
2962,2023-01-05 04:42:23,2023-01-05 07:47:13,NOT SCHEDULED,DOWNTIME
2962,2023-01-06 19:46:38,2023-01-12 03:45:00,NOT SCHEDULED,DOWNTIME
2842,2023-01-07 03:39:59,2023-01-09 05:45:28,NOT SCHEDULED,DOWNTIME
2962,2023-01-13 06:23:36,2023-01-13 12:21:51,NOT SCHEDULED,DOWNTIME
2962,2023-01-13 13:25:20,2023-01-13 14:15:22,NOT SCHEDULED,DOWNTIME
2962,2023-01-13 15:15:41,2023-01-18 07:22:47,NOT SCHEDULED,DOWNTIME
2842,2023-01-14 03:33:33,2023-01-16 05:44:54,NOT SCHEDULED,DOWNTIME
2962,2023-01-18 15:07:35,2023-01-18 15:09:26,NOT SCHEDULED,DOWNTIME
2962,2023-01-18 16:27:52,2023-01-18 18:05:58,NOT SCHEDULED,DOWNTIME
2962,2023-01-18 19:42:56,2023-01-18 19:43:08,NOT SCHEDULED,DOWNTIME
2842,2023-01-19 07:48:52,2023-01-19 11:46:34,NOT SCHEDULED,DOWNTIME
2962,2023-01-20 18:33:12,2023-02-06 08:25:38,NOT SCHEDULED,DOWNTIME
2842,2023-01-21 03:25:13,2023-01-23 03:45:31,NOT SCHEDULED,DOWNTIME
2842,2023-01-28 04:17:11,2023-01-30 05:53:48,NOT SCHEDULED,DOWNTIME
2962,2023-01-03 04:05:26,2023-01-03 05:40:12,STARTUP(TECH. WAITING),DOWNTIME
2962,2023-01-03 21:26:59,2023-01-03 21:36:47,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-04 07:34:28,2023-01-04 08:58:39,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-06 03:47:08,2023-01-06 03:54:42,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-06 15:46:26,2023-01-06 15:53:53,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-10 08:03:32,2023-01-10 08:27:26,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-10 14:44:29,2023-01-10 14:55:41,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-11 13:56:38,2023-01-11 16:05:03,STARTUP(TECH. WAITING),DOWNTIME
2842,2023-01-11 19:16:19,2023-01-11 19:33:56,STARTUP(TECH. WAITING),DOWNTIME
